"last_value","estimated_value","difference","orderbook_diff"
25418.32,25419.4029796538,-1.08297965377278,-12.6604
25433.91,25435.8019587727,-1.89195877270322,-23.18626
25650.11,25617.2325326344,32.8774673656299,-7.55004
25649.0866666667,25617.4436269596,31.643039707069,-12.59595
25637.37,25625.5340335393,11.8359664606505,-5.85266
25644.08,25620.2781608735,23.8018391264523,-6.75372
25552.08,25535.5695,16.510500000004,4.45935
25598.89,25571.3312020202,27.5587979797565,4.69927
25634.06,25595.7741111102,38.285888889779,0.96189
25604.1,25608.4293775749,-4.32937757486434,4.0489
25594.11,25599.2057406532,-5.0957406531561,14.43309
25633.45125,25606.862567265,26.5886827349932,15.02635
25655.80125,25633.9526428526,21.8486071474035,-17.20268
25675.79,25645.6983680584,30.0916319415846,-19.23806
25652.58,25665.9986467711,-13.4186467711334,-9.75805
25656.1092857143,25657.1518868233,-1.04260110902032,-8.64739
25640.07,25657.5114041239,-17.4414041238742,-11.69083
25617.7,25632.1592514237,-14.4592514236829,-10.01327
25629.975,25631.3112913492,-1.33629134924922,-10.98435
25637.78,25636.8517665944,0.928233405560604,-7.46934
25657.64,25649.8180445869,7.8219554130701,-4.39362
25646.73,25659.6005567134,-12.8705567134093,8.58588
25611.07,25621.9979208828,-10.9279208827647,-6.73159
25592.79,25605.9433508138,-13.1533508138236,-3.09448
25571.4633333333,25583.8364032912,-12.37306995787,0.700060000000004
25565.05,25565.2755141877,-0.225514187713998,9.89253
25535.95,25525.1049707589,10.8450292410962,-2.69812
25571.67,25550.7672322079,20.9027677920603,7.4309
25552.95,25546.027571144,6.9224288559999,-2.21607
25568.5475,25564.6697243575,3.87777564246062,5.98212
25569.505625,25580.0480080806,-10.5423830806212,2.7203
25599.12,25589.3012750552,9.81872494478375,-21.06882
25593,25587.2116897836,5.78831021638325,-6.28968
25583.22,25581.7517858525,1.46821414748774,-6.68256
25596.04,25585.9153017101,10.1246982899283,-0.58625
25624.75,25605.6165748647,19.1334251353328,-9.11959
25584.15,25582.9791740031,1.17082599690912,-6.04103
25582.19,25585.2385089928,-3.04850899284429,11.36492
25616.385,25589.0379679316,27.3470320683809,7.46975
25617.305,25617.7900412083,-0.485041208281473,-5.2243
25672.12,25666.4556428594,5.66435714063118,-17.86373
25662.09,25664.3261922054,-2.23619220542969,-7.55202
25644.165,25649.9888479637,-5.82384796367114,-10.47329
25659.4466666667,25651.0473188112,8.39934785550213,-6.32227
25663.31,25643.2190029006,20.0909970994107,-16.31424
25708.68,25686.0415402702,22.6384597297947,-22.44827
25687.1983333333,25685.9345523977,1.2637809355947,-15.82927
25693.035,25693.870472023,-0.835472023038164,-16.42687
25688.35,25680.2888642607,8.06113573928451,-10.73146
25683.26,25680.1693270991,3.09067290094754,4.0602
25703.0525,25676.0478864588,27.0046135412194,-17.15859
25734.44,25707.9865213267,26.4534786733457,-3.54118
25768.67375,25728.72543277,39.9483172299988,-17.34328
25748.93,25737.245400976,11.6845990239526,1.65427
25727.165,25722.8798204006,4.28517959943565,-7.39492
25734.6933333333,25720.7242416917,13.9690916416366,-7.98299
25719.2533333333,25706.1613937509,13.0919395823985,-9.24064
25699.155,25686.2688405074,12.8861594926129,-19.21319
25707,25692.2175193507,14.782480649279,-10.09042
25698.0783333333,25693.8201225362,4.25821079708476,-23.20346
25717.09,25692.5871535068,24.5028464931638,-16.75134
25746.3633333333,25729.6715,16.6918333333306,-12.60152
25741.98625,25730.3429115825,11.6433384175471,-12.68111
25740.965,25740.8649758981,0.100024101942836,-24.44977
25733.5533333333,25729.502,4.05133333333288,-21.96595
25730,25735.3522130457,-5.35221304569131,-23.73344
25746.58,25722.0066741112,24.5733258888104,-42.68047
25745.17,25732.7810777446,12.388922255388,-34.5862
25779.76,25739.3698946685,40.3901053315167,-9.79177
25778.355,25764.050565047,14.3044349529628,-23.28735
25790.39,25777.8404507443,12.5495492557093,-9.70905
25789.21,25765.9181653483,23.2918346516599,-15.03626
25823.96,25785.4383668811,38.5216331188858,-29.2068
25959.7333333333,25902.6503380479,57.0829952854365,-0.37036
26015.5966666667,25808.0155901471,207.581076519546,1.73753
25973.03,25960.0928955738,12.9371044261825,2.2921
25875.8133333333,25935.2461921582,-59.4328588248172,9.27492
25948.57,25919.9147069208,28.6552930792059,4.50423
25979.152,25968.6360390914,10.5159609085495,-15.02694
25973,25944.9136179305,28.086382069454,-9.79496
25909.9936363636,25912.5167671084,-2.52313074480116,17.58679
25883.19,25862.7601846537,20.4298153463205,14.6263
25908,25884.9508327432,23.0491672567914,15.81791
25943.906,25895.4976623472,48.4083376527706,-5.50992
25948.6266666667,25927.9215041292,20.7051625374297,7.06651
25945.8733333333,25925.9542525387,19.9190807946579,-1.81802
25951.0225,25931.5706276483,19.4518723516521,11.59169
25883.8957142857,25862.2684052067,21.6273090790637,-23.14964
25896.785,25869.6089446335,27.1760553664972,-35.37714
25920.7133333333,25879.4030666782,41.3102666551422,-15.31711
25921.44,25892.3217065269,29.118293473075,-14.18685
25925.42,25892.6276471047,32.7923528952706,-15.37449
25919.27,25896.47854677,22.7914532300165,-26.28582
25985.75,25951.3822134745,34.3677865254504,-7.06117
25986.63,25946.0139380965,40.6160619034599,-8.95547
25963.55,25960.0314685929,3.518531407095,6.71907
25930.2,25936.1822619233,-5.98226192332731,-5.27593
25957.44,25926.170842822,31.269157177976,14.38029
25934.27,25919.673929634,14.5960703660166,8.24669
25920,25921.3283208933,-1.32832089329895,8.63357
25910.95,25893.577011926,17.3729880740175,-4.90467
26015.01,25988.8057693962,26.2042306037547,-0.0897700000000015
25997.85,25993.0963133107,4.75368668925148,-5.22307
25997.13,25983.089552693,14.0404473069866,-8.91741
26027.27,25998.448135098,28.8218649020127,-4.95705
26001.09,26006.6234258856,-5.53342588560554,-14.87322
26035.235,26014.8887641426,20.3462358573524,-18.25268
25931.28,25992.1363548961,-60.8563548960701,-0.869680000000001
26020.495,25982.5000831942,37.9949168058156,-17.47769
25994.8133333333,25982.8712586893,11.9420746440592,-11.65522
25920.064,25915.6041305359,4.45986946406265,14.17125
25994.0666666667,25963.2590317076,30.8076349591029,6.95521
26022.325,25983.864134352,38.4608656480268,-0.427560000000001
26051.3,26045.1978526212,6.10214737879505,-4.44146
26030.3066666667,26028.6199743701,1.68669229657462,-4.66262
26060.0033333333,26037.2007242611,22.8026090722378,-6.278
26040.5433333333,26043.7009877486,-3.15765441523035,9.86526
26033.64375,26029.0432091038,4.600540896241,6.59731
26013.5775,25993.9535511154,19.6239488846004,-8.27452
26035.4275,26020.8358225767,14.5916774232792,-12.83583
26065.86,26035.4403842282,30.4196157717597,-23.43484
26090.91,26077.5939489894,13.316051010599,-40.19468
26359.735,26309.6296857336,50.1053142663732,-4.35859
26395.0533333333,26342.2619827651,52.7913505681863,-21.59414
26402.60875,26342.0316310499,60.5771189500847,-19.43882
26402.3333333333,26373.5968025544,28.7365307789514,-1.48546
26393.6033333333,26360.4003095406,33.2030237927356,-18.29126
26355.2828571429,26340.1137661388,15.1690910040707,-19.24568
26408.2675,26329.0460358863,79.221464113718,-5.01496
26529.6775,26421.4952863967,108.182213603264,-12.21571
26510.968,26423.3283495283,87.6396504717341,-16.2058
26533.5795,26468.0750576286,65.5044423714062,-20.77522
26531.43,26482.0804075654,49.3495924345734,-24.81451
26528.39,26499.9409546924,28.4490453076032,-3.99953
26506.97,26476.9940517775,29.9759482224945,0.799009999999999
26451.5675,26423.144933947,28.4225660529592,1.66073
26490.28125,26430.6983986481,59.5828513519409,2.23106
26475,26437.2575835763,37.7424164236581,-12.62605
26373,26368.6341123906,4.36588760944869,5.76942
26375.08,26322.2552273288,52.8247726712507,-9.15346
26334.21,26331.7226890792,2.48731092080561,20.95152
